type,date,January,February,March,April,May,June,July,August,September,October,November,December
ABW,1900,26.209,26.804,27.174,27.474,29.266,29.186,29.716,29.486,28.907,28.001,27.434,26.678
ABW,1901,26.015,26.063,26.62,27.215,28.2,29.063,29.214,29.457,29.473,28.249,27.214,26.609
ABW,1902,26.002,26.154,26.115,27.383,28.685,28.984,29.606,29.673,29.305,28.28,27.611,26.943
ABW,1903,26.315,26.929,26.634,27.497,28.85,29.518,29.385,29.091,29.06,28.319,27.255,26.414
ABW,1904,25.812,25.377,25.455,26.413,27.936,28.578,28.725,29.115,28.805,27.971,27.845,26.588
ABW,1905,25.992,25.915,25.796,27.416,27.974,29.033,29.504,29.58,29.055,28.451,27.823,26.723
ABW,1906,26.038,25.966,26.395,27.091,28.515,28.831,29.131,29.303,29.276,28.194,27.872,25.746
ABW,1907,25.058,25.231,25.516,27.037,28.032,28.919,28.929,29.352,29.214,28.216,27.46,26.89
ABW,1908,26.219,25.822,25.802,26.694,28.167,28.899,29.13,29.497,29.036,28.055,27.227,26.332
ABW,1909,25.716,25.334,26.591,26.592,28.25,28.636,28.98,29.131,29.255,28.379,26.953,25.712
ABW,1910,25.286,25.26,25.239,26.651,28.53,29.138,29.294,29.531,28.976,27.89,27.582,26.516
ABW,1911,25.412,25.465,25.795,27.2,27.946,28.809,29.201,29.157,29.217,28.396,27.656,26.712
ABW,1912,26.43,26.222,26.345,26.966,28.895,28.594,29.042,29.083,28.85,28.116,27.548,26.668
ABW,1913,26.063,25.847,25.868,26.325,27.659,28.648,29.028,29.139,28.743,27.791,27.074,26.033
ABW,1914,25.93,26.036,26.333,27.122,28.29,28.605,29.407,29.338,29.296,28.303,27.661,27.536
ABW,1915,26.556,26.178,27.155,27.163,29.098,29.713,29.805,30.118,29.597,29.067,27.879,27.035
ABW,1916,25.872,25.423,25.84,27.153,28.761,29.216,29.417,29.453,29.104,27.988,27.085,25.55
ABW,1917,25.042,24.78,25.231,26.317,27.732,28.369,28.783,28.981,28.606,28.075,27.229,26.031
ABW,1918,25.267,25.39,25.417,26.068,27.285,28.286,29.319,29.351,29.343,28.198,27.338,26.223
ABW,1919,25.856,26.267,26.112,27.015,28.382,29.088,29.272,29.722,29.231,28.592,27.664,26.991
ABW,1920,26.176,26.042,25.895,27.064,28.268,28.812,29.161,29.278,28.954,28.191,27.391,26.269
ABW,1921,26.01,25.693,25.395,26.103,27.762,28.543,29,28.941,29.108,28.035,27.704,26.62
ABW,1922,26.134,25.743,25.757,26.821,27.977,28.427,29.356,29.5,29.28,28.417,27.379,26.263
ABW,1923,25.368,25.318,25.741,26.486,28.286,29.055,29.459,29.649,29.496,28.415,27.792,26.525
ABW,1924,26.045,25.949,26.935,27.527,28.911,28.966,29.336,29.563,29.006,28.198,27.779,26.508
ABW,1925,25.468,25.16,25.523,26.939,28.672,29.019,29.283,29.455,28.996,28.699,27.832,27.244
ABW,1926,26.563,26.749,26.865,27.868,29.369,29.796,29.977,29.75,29.385,28.842,28.024,26.595
ABW,1927,26.01,25.25,26.171,26.682,28.323,29.026,29.354,29.761,29.437,28.858,28.262,26.595
ABW,1928,25.931,26.055,26.162,27.677,28.649,29.348,29.524,29.355,29.514,28.714,28.058,26.572
ABW,1929,25.755,25.593,25.898,26.711,27.959,29.11,29.561,29.755,29.423,29.087,28.07,26.659
ABW,1930,26.071,25.741,26.253,26.533,28.091,28.727,29.33,29.537,29.302,28.325,28.098,27.265
ABW,1931,26.822,26.399,27.372,27.865,28.991,29.502,29.44,29.822,29.497,28.946,27.153,26.842
ABW,1932,26.032,26.013,26.52,27.864,28.456,29.353,29.39,29.516,29.869,28.693,28.188,26.821
ABW,1933,26.033,25.446,26.175,27.071,28.538,28.87,29.518,29.373,29.161,28.254,27.673,26.503
ABW,1934,25.863,25.354,25.455,27.563,28.969,29.847,29.479,29.797,29.791,28.651,27.851,27.006
ABW,1935,25.963,25.881,25.844,26.912,27.806,28.981,29.361,28.984,29.403,28.454,27.635,26.767
ABW,1936,26.178,25.533,26.543,27.328,28.618,28.824,29.353,29.823,29.345,28.481,27.965,26.392
ABW,1937,25.886,25.738,26.581,27.379,28.488,29.217,29.469,29.641,29.412,29.006,28.236,27.051
ABW,1938,25.744,25.751,25.364,26.376,28.144,29.108,29.48,29.193,29.15,28.251,27.701,26.048
ABW,1939,25.84,24.459,25.034,26.59,28.594,29.234,29.549,30.044,30.033,28.852,27.853,26.929
ABW,1940,26.158,26.738,26.665,28.147,29.471,29.932,30.063,30.285,29.95,29,28.291,27.661
ABW,1941,26.51,27.527,27.08,27.969,29.392,29.957,29.751,29.888,29.999,29.273,28.569,27.852
ABW,1942,27.234,27.377,27.607,28.001,28.868,29.699,30.043,29.982,29.702,28.994,28.25,27.128
ABW,1943,26.269,26.026,26.13,27.355,28.072,28.808,29.237,29.669,29.954,28.813,28.037,27.017
ABW,1944,26.408,26.066,26.234,27.276,28.292,29.097,29.971,30.157,29.518,28.867,27.695,26.836
ABW,1945,25.919,25.682,25.983,26.671,27.97,28.871,29.358,29.795,29.664,28.588,28.199,27.215
ABW,1946,25.747,25.447,26.02,26.61,28.395,28.924,29.238,28.922,29.385,28.69,27.833,27.02
ABW,1947,26.381,26.548,26.791,27.406,28.811,29.464,29.309,29.741,29.805,29.06,28.602,27.281
ABW,1948,27.035,26.406,26.584,26.761,29.174,29.493,29.538,29.717,29.732,28.901,28.379,27.029
ABW,1949,25.658,25.66,26.393,27.725,28.727,28.961,29.251,29.282,29.422,28.516,27.805,26.386
ABW,1950,25.405,25.948,25.784,26.681,27.631,28.439,28.922,28.847,29.529,28.072,27.726,26.878
ABW,1951,26.008,25.563,25.819,27.528,28.688,29.355,29.572,29.945,30.045,29.325,28.717,27.615
ABW,1952,26.546,26.854,27.095,27.794,29.258,29.577,29.505,29.993,30.006,29.641,28.542,27.259
ABW,1953,26.922,26.382,26.474,27.912,28.509,29.694,29.768,30.096,29.845,29.185,29.069,27.561
ABW,1954,26.729,26.459,27.203,27.279,28.674,29.231,29.368,29.855,29.688,27.876,27.761,26.569
ABW,1955,26.358,26.237,25.929,26.508,28.119,28.636,29.232,29.615,28.923,28.102,27.878,26.74
ABW,1956,25.86,26.116,26.395,27.374,28.468,28.972,29.204,29.599,29.478,28.41,27.913,26.474
ABW,1957,25.821,25.933,26.463,26.889,28.092,29.34,29.434,29.904,29.842,29.238,28.183,27.32
ABW,1958,27.084,27.092,28.02,28.413,29.552,30.105,29.886,30.123,30.277,29.532,28.451,27.508
ABW,1959,26.888,26.36,26.84,27.556,28.243,29,29.523,29.341,29.603,28.701,28.197,27.992
ABW,1960,27,27.04,27.041,27.675,29.039,29.167,29.406,29.267,29.431,28.883,28.465,26.629
ABW,1961,26.869,26.511,26.595,27.319,28.613,29.152,29.228,29.679,29.464,28.718,27.503,27.223
ABW,1962,26.802,26.27,26.746,27.408,28.652,29.205,29.813,29.709,29.921,29.124,28.328,27.454
ABW,1963,26.625,26.677,26.827,27.085,28.126,29.367,29.476,30.073,30.011,29.393,28.187,27.96
ABW,1964,26.848,26.896,26.811,27.306,28.588,28.864,29.189,29.826,29.691,28.582,28.188,26.128
ABW,1965,25.886,25.805,26.596,26.947,28.242,28.834,29.574,29.511,29.834,29.073,28.442,27.817
ABW,1966,27.484,26.763,27.01,27.557,28.617,29.026,29.738,29.925,29.641,28.676,27.672,26.785
ABW,1967,26.544,26.357,26.253,26.91,28.34,29.017,29.037,29.505,29.483,28.888,28.031,27.092
ABW,1968,26.253,26.122,26.458,27.043,28.543,29.048,29.458,29.65,29.596,28.964,28.571,27.666
ABW,1969,26.68,26.777,27.804,28.207,29.403,29.921,30.011,29.784,30.116,28.553,28.324,27.992
ABW,1970,27.413,27.028,27.129,27.932,29.021,29.688,29.52,29.778,29.339,28.618,27.736,27.23
ABW,1971,26.457,26.5,26.605,27.096,28.18,29.1,29.254,29.283,29.094,28.206,27.99,26.915
ABW,1972,26.245,26.384,26.693,27.127,28.486,29.549,29.706,29.758,30.035,29.271,28.87,28.104
ABW,1973,27.743,27.059,27.601,27.79,29.029,29.463,29.77,29.779,29.355,28.536,27.517,26.34
ABW,1974,25.768,26.006,26.353,26.807,27.701,29,29.218,29.378,28.9,28.331,27.886,27.055
ABW,1975,26.537,26.358,27.029,27.263,28.574,29.3,29.108,29.851,29.235,28.122,28.106,25.836
ABW,1976,25.505,25.544,25.783,26.893,28.326,28.963,29.2,29.55,29.682,28.482,28.455,27.338
ABW,1977,27.02,27.006,26.879,27.39,28.5,29.113,29.737,30.065,30.052,29.218,28.677,27.796
ABW,1978,26.843,27.204,27.288,27.649,28.974,29.28,29.301,29.547,29.53,28.905,28.816,27.362
ABW,1979,26.53,27.146,27.259,27.558,28.729,29.353,29.734,30.065,29.641,29.228,28.627,27.318
ABW,1980,27.032,26.851,27.304,28.088,29.312,29.78,30.031,30.046,30.041,29.119,28.399,27.52
ABW,1981,27.19,27.25,27.486,27.254,28.519,28.994,29.761,29.791,29.318,28.915,28.837,28.064
ABW,1982,26.797,26.701,26.788,27.282,28.425,29.335,29.424,29.97,29.68,28.789,28.393,27.374
ABW,1983,27.262,27.034,27.774,27.738,28.924,29.853,29.928,30.062,30.092,28.972,28.841,27.764
ABW,1984,27.047,27.12,27.07,27.676,28.822,29.464,29.278,29.558,29.223,28.717,27.753,26.65
ABW,1985,26.027,26.276,26.411,27.114,28.586,29.197,29.448,29.609,29.396,28.461,27.593,26.51
ABW,1986,26.42,26.032,26.721,27.434,28.351,29.192,29.458,29.685,29.289,28.207,27.888,27.195
ABW,1987,26.748,26.942,27.34,28.517,29.371,30.276,30.129,30.273,30.157,29.145,28.989,28.426
ABW,1988,26.968,26.961,27.093,27.947,29.266,29.878,30.074,29.375,29.357,28.353,28.182,26.745
ABW,1989,26.377,25.955,26.555,27.583,28.384,29.04,29.444,29.969,29.591,28.899,28.418,27.4
ABW,1990,26.782,26.069,26.686,27.489,28.557,29.577,29.63,30.012,30.075,28.524,28.405,27.114
ABW,1991,26.61,26.963,27.078,27.589,28.731,29.631,29.776,30.154,29.896,29.005,28.166,26.518
ABW,1992,26.787,26.967,27.522,27.987,29.188,29.819,29.181,29.981,29.49,29.244,28.374,27.445
ABW,1993,26.834,26.785,27.277,28.043,29.09,29.96,29.991,29.927,29.471,29.583,28.435,27.674
ABW,1994,26.932,26.698,27.147,27.715,28.76,29.652,29.476,29.869,29.965,28.955,28.88,27.738
ABW,1995,27.454,27.107,27.236,28.177,29.445,30.074,29.852,29.941,30.255,28.674,28.768,27.854
ABW,1996,27.188,27.283,27.328,27.837,28.773,29.479,29.489,30.039,30.109,28.929,28.076,27.225
ABW,1997,26.738,26.927,26.668,27.773,29.309,29.784,30.085,30.305,30.338,29.693,29.116,28.424
ABW,1998,28.012,27.782,27.771,28.381,29.441,29.981,29.906,30.64,30.308,29.258,28.702,27.608
ABW,1999,26.702,26.442,27.334,27.627,28.861,29.456,29.544,29.879,29.477,28.395,28.101,26.557
ABW,2000,25.853,26.17,26.4,27.537,28.603,29.142,29.409,30.113,29.572,29.286,28.032,27.419
ABW,2001,26.934,26.896,27.066,27.57,29.049,29.432,29.813,30.414,29.88,29.181,28.976,28.36
ABW,2002,27.623,27.208,27.438,27.775,29.151,29.541,30.01,30.454,30.288,29.448,29.089,28.166
ABW,2003,27.749,27.655,27.492,28.087,29.27,29.402,29.636,30.31,30.11,29.626,28.967,27.892
ABW,2004,27.017,27.278,27.43,28.018,28.743,29.515,29.704,30.086,29.698,29.214,27.858,27.511
ABW,2005,26.889,26.731,28.161,28.38,29.435,30.253,30.269,30.333,30.448,29.08,28.085,27.203
ABW,2006,26.782,26.899,27.275,27.688,29.261,30.062,30.012,30.361,30.433,29.524,29.215,28.144
ABW,2007,27.525,27.259,27.689,28.179,29.424,30.213,30.431,30.101,29.837,28.835,28.765,27.616
ABW,2008,27.154,26.844,26.963,27.808,28.817,29.662,29.874,30.125,30.203,28.607,28.219,27.127
ABW,2009,27.26,26.57,26.491,27.775,28.934,29.748,30.158,30.473,30.792,29.818,29.451,28.514
ABW,2010,27.972,27.932,28.596,28.508,29.819,30.207,30.208,30.6,29.447,29.37,27.625,27.336
ABW,2011,27.289,26.965,26.502,27.34,28.728,29.886,30.02,30.34,30.055,29.061,28.577,27.397
ABW,2012,26.879,26.976,27.066,27.516,29.117,29.993,30.339,30.232,30.112,29.067,28.764,27.767
AFG,1900,-3.428,1.234,10.545,13.352,20.26,24.448,27.333,24.911,20.827,14.036,8.478,2.996
AFG,1901,0.528,1.917,10.121,14.138,19.855,23.4,26.448,24.939,20.311,12.571,8.827,3.673
AFG,1902,2.293,3.469,9.3,14.328,21.332,25.396,26.337,25.11,20.288,13.878,8.669,3.67
AFG,1903,-1.387,3.082,4.041,11.763,18.776,25.023,25.909,24.984,20.623,14.416,7.099,1.508
AFG,1904,-3.088,4.379,8.35,14.176,20.24,24.808,26.434,24.877,19.606,12.416,9.458,4.013
AFG,1905,-1.24,-1.028,5.031,14.152,20.887,25.038,26.836,25.096,20.366,14.501,8.619,2.37
AFG,1906,-0.163,0.832,6.988,12.193,20.556,24.885,26.73,25.786,20.179,14.82,9.4,4.413
AFG,1907,1.884,1.058,6.979,14.757,18.187,22.819,26.43,24.844,20.302,12.524,7.775,2.676
AFG,1908,1.326,2.764,7.35,14.416,19.072,24.642,27.152,25.192,19.371,12.342,8.193,2.57
AFG,1909,-1.224,2.785,8.927,15.354,19.343,24.71,26.016,25.344,19.408,13.562,10.002,2.878
AFG,1910,0.297,3.851,6.727,12.63,20.753,24.45,26.149,24.926,19.617,13.333,6.844,-0.979
AFG,1911,-1.126,3.846,6.661,13.347,20.326,25.45,25.984,25.391,20.796,12.784,5.481,1.68
AFG,1912,0.462,5.285,8.022,14.558,20.006,24.896,27.644,24.492,18.062,14.337,6.724,2.344
AFG,1913,2.113,1.45,5.772,13.625,21.741,24.829,27.089,24.191,19.697,14.367,7.911,3.526
AFG,1914,3.976,1.723,8.174,14.805,20.387,26.309,26.627,24.68,21.077,14.059,8.778,0.967
AFG,1915,2.135,2.264,11.603,14.174,22.895,25.533,26.475,26.386,21.885,13.745,8.863,3.017
AFG,1916,2.255,0.74,9.141,14.797,19.174,22.863,26.292,25.844,20.01,12.647,3.909,2.444
AFG,1917,2.684,5.55,7.924,14.281,21.291,24.838,26.38,24.998,20.137,12.092,5.955,0.868
AFG,1918,-0.01,3.497,6.746,12.182,22.33,24.522,26.923,25.257,19.764,13.699,6.441,0.448
AFG,1919,-1.552,2.989,8.233,15.204,20.306,26.028,27.191,25.541,19.534,13.222,7.816,2.059
AFG,1920,1.385,0.689,7.944,11.725,17.695,23.728,27.289,24.543,21.357,14.89,7.047,-1.854
AFG,1921,0.471,3.095,8.302,16.547,19.392,24.533,27.545,24.065,20.612,14.199,7.942,3.356
AFG,1922,1.499,2.342,8.683,15.37,19.146,25.206,27.386,25.127,20.844,14.111,8.204,3.148
AFG,1923,0.211,2.449,9.028,13.756,19.172,24.787,26.295,25.751,18.576,13.289,6.127,0.626
AFG,1924,0.773,3.336,9.593,13.897,16.747,23.847,26.807,25.586,19.606,14.162,7.508,1.686
AFG,1925,-2.021,-1.174,9.991,16.143,20.41,25.715,27.581,24.767,20.015,14.642,6.917,4.195
AFG,1926,1.592,4.462,8.201,11.596,19.776,24.229,27.095,26.609,20.955,13.062,4.44,2.927
AFG,1927,-1.9,1.432,6.848,14.725,20.421,24.652,27.989,25.814,20.408,15.241,7.275,3.23
AFG,1928,-1.471,2.816,6.343,15.819,20.994,25.156,26.448,24.546,19.135,13.822,8.113,1.875
AFG,1929,-1.918,1.894,10.364,16.616,20.398,24.728,26.243,23.884,21.473,13.161,7.437,-2.499
AFG,1930,-3.993,1.647,8.099,13.419,20.164,25.284,27.43,24.753,19.279,13.595,8.573,1.717
AFG,1931,0.726,-1.612,8.481,15.627,18.648,23.508,26.186,26.331,20.868,13.536,7.21,1.861
AFG,1932,1.255,3.542,8.99,15.829,19.185,24.661,27.439,24.319,20.555,12.793,6.864,-1.456
AFG,1933,-2.244,3.563,6.586,13.145,20.821,25.121,27.784,25.525,19.833,13.568,8.396,4.497
AFG,1934,-4.379,5.397,7.813,13.822,17.139,25.201,26.822,25.992,19.714,12.591,6.303,3.682
AFG,1935,-2.635,3.948,8.573,12.665,19.057,22.939,26.759,25.581,19.913,13.35,7.108,2.297
AFG,1936,-1.144,4.284,6.326,14.083,22.309,25.54,26.746,24.505,21.428,15.616,7.199,1.197
AFG,1937,-1.09,3.787,6.127,12.546,20.853,25.716,27.359,25.906,20.411,13.08,6.85,1.314
AFG,1938,1.23,3.747,7.802,15.854,22.883,24.462,26.175,25.362,20.1,13.75,6.019,3.151
AFG,1939,1.718,2.809,5.912,11.406,19.604,26.431,26.743,25.204,21.184,14.476,8.994,5.462
AFG,1940,2.68,4.924,6.569,14.405,20.753,25.933,27.601,24.466,20.528,15.72,9.065,4.164
AFG,1941,1.14,6.495,11.097,15.906,22.375,26.25,26.704,25.966,20.212,16.967,8.983,3.938
AFG,1942,1.523,2.212,10.203,15.302,21.021,24.49,27.037,24.528,19.882,14.897,10.538,1.781
AFG,1943,-0.587,3.266,7.17,13.315,19.019,23.88,26.789,25.294,20.038,13.159,7.862,5.289
AFG,1944,2.058,3.957,10.485,14.621,20.997,25.166,28.425,25.308,19.444,13.804,8.532,-1.296
AFG,1945,-1.013,1.966,8.186,13.789,19.275,25.14,26.617,26.011,21.097,14.577,8.435,2.315
AFG,1946,0.377,5.625,9.102,17.556,23.195,25.47,26.931,25.254,20.584,16.232,5.434,-0.624
AFG,1947,2.335,3.919,10.456,15.546,20.547,24.755,26.825,26.855,20.984,14.428,10.942,2.829
AFG,1948,2.752,4.359,8.068,14.544,21.774,24.469,27.587,25.187,20.818,13.966,7.29,1.209
AFG,1949,-1.374,3.089,7.789,15.152,20.991,23.142,27.238,24.268,20.634,11.546,5.186,2.54
AFG,1950,-0.048,0.159,7.541,12.031,20.487,25.083,27.455,25.357,19.043,14.451,5.119,-0.156
AFG,1951,0.648,0.801,6.867,13.264,20.281,22.893,26.001,24.713,21.572,17.085,8.581,4.907
AFG,1952,1.198,5.671,8.775,15.811,20.05,25.257,26.485,24.803,19.857,13.355,6.626,2.217
AFG,1953,2.097,6.945,9.673,14.719,20.59,24.941,27.407,24.837,20.341,12.747,7.662,3.85
AFG,1954,1.333,2.934,7.527,14.492,20.695,23.95,25.918,24.518,20.307,12.892,7.274,2.456
AFG,1955,1.636,6.092,10.031,13.607,18.451,24.112,27.077,26.235,21.01,12.999,9.609,4.852
AFG,1956,0.844,4.236,8.139,15.018,22.23,23.763,26.617,24.391,21.071,13.172,8.686,2.126
AFG,1957,-1.69,0.831,8.502,11.696,18.094,23.243,25.775,24.227,18.974,13.346,7.055,3.273
AFG,1958,3.661,4.513,11.055,16.592,18.752,25.091,27.24,24.639,21.086,13.91,5.4,4.662
AFG,1959,0.63,1.794,8.981,15.948,19.487,24.898,25.97,26.634,22.973,15.648,6.59,0.278
AFG,1960,2.262,7.008,5.832,12.312,18.853,25.436,26.6,25.749,20.537,14.27,7.155,1.811
AFG,1961,1.482,1.59,9.26,12.818,21.318,24.656,27.363,25.263,21.913,12.708,6.868,3.54
AFG,1962,0.616,5.728,10.194,14.522,19.919,23.72,26.961,24.789,18.598,12.985,5.247,1.945
AFG,1963,3.368,7.233,9.161,15.532,19.194,26.252,27.246,25.121,20.739,15.866,8.189,2.5
AFG,1964,-4.254,3.107,10.546,14.19,19.82,23.998,26.47,25.635,20.098,11.261,6.828,-0.68
AFG,1965,2.387,3.334,8.185,12.856,19.612,24.165,26.776,24.225,19.567,16.254,9.764,2.097
AFG,1966,4.375,6.869,8.677,13.477,19.64,26.136,26.232,25.17,19.867,13.575,5.341,2.757
AFG,1967,-0.578,3.563,8.09,13.063,18.495,23.989,26.99,24.932,20.821,13.229,8.751,2.614
AFG,1968,1.134,1.447,9.125,13.881,18.071,24.907,26.338,24.844,20.22,13.655,8.425,3.101
AFG,1969,-1.644,0.239,11.343,14.034,19.051,24.357,26.781,24.517,19.537,15.3,6.947,5.199
AFG,1970,1.337,5.088,7.71,16.199,21.801,25.226,26.251,26.862,20.546,14.743,8.778,2.856
AFG,1971,-0.588,3.98,10.276,16.082,22.008,26.196,26.556,25.245,19.405,13.786,9.603,5.333
AFG,1972,-1.033,-3.532,6.927,14.045,18.623,24.344,25.153,22.776,19.583,13.7,9.139,0.841
AFG,1973,-2.374,4.588,8.158,15.651,20.69,26.73,27.014,25.604,20.199,14.175,8.312,2.079
AFG,1974,-0.877,-0.79,9.628,15.416,20.077,24.374,26.867,24.204,20.087,11.816,7.623,1.376
AFG,1975,-0.104,2.315,7.821,13.786,19.997,24.978,26.726,25.467,20.622,13.24,5.593,2.136
AFG,1976,2.856,1.8,5.882,13.763,20.582,24.407,27.24,25.272,20.905,14.56,5.47,1.766
AFG,1977,-2.453,3.223,12.123,16.056,20.443,26.356,27.552,25.132,19.943,15.259,9.669,4.362
AFG,1978,0.063,2.767,7.335,15.966,21.204,25.5,26.726,24.878,20.645,14.55,6.796,5.526
AFG,1979,1.735,4.177,7.299,16.449,17.399,24.921,27.513,24.198,20.579,16.149,6.677,4.049
AFG,1980,0.533,2.05,8.18,17.357,21.573,25.502,27.457,25.422,20.399,15.265,10.239,4.671
AFG,1981,2.477,4.414,10.364,15.842,21.099,24.58,27.163,25.258,20.44,13.036,8.733,4.915
AFG,1982,1.442,1.394,6.886,15.234,20.286,24.867,26.73,25.241,19.728,14.907,6.654,1.428
AFG,1983,1.386,3.994,6.415,13.254,21.074,25.5,27.988,26.685,22.272,13.951,10.043,2.816
AFG,1984,0.756,-0.988,10.579,15.677,21.331,26.036,27.623,27.091,19.994,13.16,9.533,0.158
AFG,1985,1.224,5.958,8.859,15.935,20.54,26.424,28.254,24.901,20.873,13.856,8.587,3.254
AFG,1986,1.681,3.466,5.881,14.726,20.896,25.416,26.976,24.662,20.824,15.637,8.319,2.194
AFG,1987,3.563,4.953,10.592,14.665,20.184,24.319,26.642,26.619,21.814,12.587,8.952,4.918
AFG,1988,2.259,3.681,8.996,16.329,21.847,26.347,28.142,25.635,21.207,14.233,10.225,5.767
AFG,1989,-0.424,0.466,8.94,13.582,18.588,25.291,27.186,25.142,20.793,15.621,9.127,5.197
AFG,1990,1.558,3.669,8.402,14.457,22.442,26.34,27.526,26.563,22.217,14.53,10.042,2.174
AFG,1991,1.168,2.352,7.925,14.645,19.294,25.117,27.23,25.562,21.141,14.139,8.749,5.127
AFG,1992,1.588,3.73,6.593,13.562,17.72,25.128,26.804,24.584,19.777,13.942,9.812,5.433
AFG,1993,0.808,5.376,7.475,15.233,20.556,25.273,26.826,24.917,21.682,12.904,8.325,3.896
AFG,1994,2.105,2.082,10.35,13.339,21.143,26.289,27.668,27.077,18.314,13.891,11.56,3.239
AFG,1995,2.453,4.007,7.944,14.428,20.442,25.837,28.443,26.718,20.947,14.539,9.973,2.579
AFG,1996,0.175,4.337,8.31,14.773,19.42,25.518,27.349,25.278,22.929,14.36,6.762,3.901
AFG,1997,2.69,3.628,8.742,14.483,19.142,25.913,28.533,26.241,22.014,16.013,7.921,3.528
AFG,1998,2.041,2.711,8.36,16.595,20.524,24.618,27.896,26.656,21.761,14.939,9.698,5.791
AFG,1999,1.926,6.497,8.876,15.239,21.186,25.896,27.38,26.625,21.901,15.936,8.932,4.271
AFG,2000,2.404,3.155,8.971,18.44,24.14,25.451,27.26,26.416,22.118,15.272,7.952,4.395
AFG,2001,0.41,4.211,10.507,17.23,24.108,26.953,27.772,26.059,21.241,15.494,9.815,5.537
AFG,2002,2.42,4.582,11.085,15.997,21.918,26.476,27.412,27.011,21.055,16.997,9.369,2.13
AFG,2003,3.133,4.854,9.036,15.237,19.064,25.347,27.94,26.19,21.399,15.723,7.776,3.293
AFG,2004,3.756,6.56,11.972,15.969,21.942,26.14,27.193,26.404,21.741,13.371,10.859,3.344
AFG,2005,0.987,1.822,10.564,15.157,19.294,25.745,28.021,25.897,22.888,15.881,8.432,5.072
AFG,2006,-0.166,7.231,10.38,15.446,24.482,26.104,28.161,26.174,20.977,17.814,9.408,1.136
AFG,2007,1.215,4.983,8.8,18.114,21.952,26.219,27.365,25.812,21.217,12.843,10.312,2.442
AFG,2008,-4.553,1.395,13.506,16.609,23.153,27.629,28.409,26.272,21.966,16.153,8.11,3.949
AFG,2009,2.27,5.951,11.294,13.616,21.742,23.906,28.145,27.372,22.164,14.17,8.583,3.88
AFG,2010,4.292,4.737,12.901,17.675,22.099,25.92,27.81,26.015,20.482,17.182,8.233,2.598
AFG,2011,1.827,3.077,9.708,16.476,24.124,27.823,27.88,27.497,21.966,15.572,8.998,1.268
AFG,2012,-0.231,0.235,8.696,16.32,21.179,25.267,28.193,26.549,20.933,15.031,8.7,2.907
AGO,1900,21.701,22.359,23.173,22.809,21.361,18.075,18.395,20.423,23.133,23.972,23.5,22.578
AGO,1901,22.56,22.987,23.081,22.25,20.864,19.082,18.83,20.912,22.542,23.173,22.583,22.153
AGO,1902,22.016,22.416,22.634,22.42,21.178,18.925,18.911,20.375,22.257,22.748,22.784,22.965
AGO,1903,23.238,23.37,23.546,22.586,20.485,17.944,18.563,20.378,21.983,22.886,22.57,21.468
AGO,1904,21.535,21.273,21.648,21.614,20.462,18.743,17.819,19.597,21.031,22.359,22.844,20.906
AGO,1905,22.052,22.423,22.307,22.308,20.525,18.06,17.815,20.028,22.391,23.909,23.602,22.633
AGO,1906,22.977,22.055,22.609,22.058,20.46,18.108,17.903,19.658,22.265,22.867,22.783,22.238
AGO,1907,22.025,22.215,22.85,21.669,19.979,17.71,17.665,19.738,22.105,22.566,22.053,22.035
AGO,1908,22.098,21.905,22.346,21.531,20.738,18.366,17.914,20.487,22.775,23.091,22.479,22.466
AGO,1909,21.351,22.383,22.657,21.786,21.056,19.084,18.737,20.447,22.406,23.506,23.53,22.32
AGO,1910,22.518,22.766,22.736,22.021,21.293,19.029,18.665,20.849,22.445,22.577,22.191,21.965
AGO,1911,20.884,22.013,21.298,21.327,20.423,18.628,17.54,20.107,21.956,23.38,23.643,23.493
AGO,1912,23.793,23.57,23.23,22.494,20.962,19.049,18.87,20.139,21.665,23.119,23.688,22.508
AGO,1913,22.939,22.655,23.012,22.438,21.705,18.711,18.781,20.56,22.735,23.444,22.282,22.622
AGO,1914,23.277,22.932,22.757,22.244,20.483,18.206,17.973,20.115,22.802,23.892,23.406,22.702
AGO,1915,22.449,22.647,23.453,22.459,20.495,18.426,17.983,20.12,22.552,23.858,23.619,22.874
AGO,1916,23.371,23.657,23.691,22.51,20.444,18.849,18.877,19.873,22.368,24.073,23.031,23.001
AGO,1917,23.112,23.283,23.481,23.136,21.515,18.897,18.747,20,21.8,22.864,22.11,21.16
AGO,1918,20.857,21.784,21.553,21.086,20.131,18.246,18.56,19.501,22.272,23.103,22.431,21.814
AGO,1919,21.433,21.575,21.75,21.78,19.632,17.925,18.479,20.115,22.509,23.649,23.384,22.885
AGO,1920,23.338,22.913,22.645,22.044,21.278,18.24,18.587,20.028,22.494,23.282,23.505,23.052
AGO,1921,23.198,22.703,23.337,23.016,21.102,19.604,19.017,20.358,22.751,23.869,22.447,21.723
AGO,1922,22.303,22.432,23.061,22.514,21.265,18.617,18.981,20.578,23.403,23.195,23.393,23.183
AGO,1923,22.362,22.404,22.784,21.787,21.014,18.623,18.081,20.335,22.546,23.464,23.143,22.919
AGO,1924,23.59,23.479,23.54,22.115,21.323,19.997,19.23,20.494,21.911,23.232,23.041,22.168
AGO,1925,22.127,22.459,22.595,22.379,20.293,18.846,18.686,20.38,22.276,22.831,22.885,22.799
AGO,1926,23.675,24.047,23.581,22.802,21.029,18.547,17.972,20.242,22.611,23.05,23.279,22.237
